transaction_item_id,transaction_id,item_name,item_price
e729cb30-0ddd-495a-8f5d-ca46675b28d0,019ca7ae-cb2e-4fea-8d9a-12ed7abc339d,large filter coffee,1.80
d9f98d9a-bb85-49c5-b38d-585107c0c406,019ca7ae-cb2e-4fea-8d9a-12ed7abc339d,regular chai latte,2.30
ad49754a-b3a2-44c8-a427-6d064265b2dc,019ca7ae-cb2e-4fea-8d9a-12ed7abc339d,regular hot chocolate,1.40
e074883a-d516-4eea-a39b-f20f3341c446,019ca7ae-cb2e-4fea-8d9a-12ed7abc339d,large speciality tea - english breakfast,1.60
798031fa-f21a-49f9-8b51-faa52f749b36,019ca7ae-cb2e-4fea-8d9a-12ed7abc339d,large chai latte,2.60
901595d3-ef3e-4413-a391-82a4fbedc940,8bfe3299-3994-41a7-9745-17d1d442b935,large chai latte,2.60
038dc5ca-a29b-43f6-897a-1230469b023d,8bfe3299-3994-41a7-9745-17d1d442b935,large chai latte,2.60
88fc02c6-8591-4ff2-90b6-6c3fef7ebbf8,8bfe3299-3994-41a7-9745-17d1d442b935,large chai latte,2.60
c63b4d95-4306-4a21-ac6c-e23001f9c17a,125cb23f-6ab6-480e-a8d4-bbe608274d1f,regular iced americano,2.15
6fec17f8-c47a-4f4c-bf52-f47b6e69e1ef,125cb23f-6ab6-480e-a8d4-bbe608274d1f,regular chai latte,2.30
8dba6993-223c-4e09-9159-4e324efe6f94,125cb23f-6ab6-480e-a8d4-bbe608274d1f,regular iced americano,2.15
d031ebee-93d2-4210-b5b0-71e442eeb7d9,125cb23f-6ab6-480e-a8d4-bbe608274d1f,large iced americano,2.50
c1b7e4de-b795-4c35-a131-158ace6b6f27,06e54d4b-976e-4e88-ae4f-e792623e5e63,regular speciality tea - english breakfast,1.30
ed410c9e-2dff-4601-9ff9-89cf71d3aef0,8eb76819-9199-4a29-abb0-d19449f5a71a,regular hot chocolate,1.40
87e86128-9076-4bc1-9a85-0cd14caa76d8,8eb76819-9199-4a29-abb0-d19449f5a71a,regular chai latte,2.30
1d2f3023-e391-4d65-b71e-46387a5a3e0a,8eb76819-9199-4a29-abb0-d19449f5a71a,large speciality tea - english breakfast,1.60
f438f7be-90df-41e7-8435-b71cf78624a7,1d1d2a25-50c6-4f9c-ab1f-feeef47b1f72,regular iced americano,2.15
1120357b-ad74-4387-80a1-9de8cd644c9a,1d1d2a25-50c6-4f9c-ab1f-feeef47b1f72,regular chai latte,2.30
ea0f8c2c-396c-47e8-b2f3-528db910b581,01561b64-0905-455b-b295-d9916f0ed141,large chai latte,2.60
daf9ae04-fd41-4ade-a6df-e20b2e1c1b7e,d93527d1-663a-4c43-ab6c-4c40fb6ea8e3,large filter coffee,1.80
b1e93683-3838-4e01-a464-f51d1cbbca51,d93527d1-663a-4c43-ab6c-4c40fb6ea8e3,large hot chocolate,1.70
ca4e89bb-3933-49b8-86d7-b679ee1f16ff,d93527d1-663a-4c43-ab6c-4c40fb6ea8e3,large filter coffee,1.80
92df22c8-f6f5-413f-b9d1-59cee3f00f33,d93527d1-663a-4c43-ab6c-4c40fb6ea8e3,large iced americano,2.50
571d5b99-0d27-4090-b93d-98d85ccf16fe,1f5dc458-af15-4832-a31d-dc928c0862f4,regular hot chocolate,1.40
b3936e64-6a98-4d03-8720-fa91f9edd0e5,1f5dc458-af15-4832-a31d-dc928c0862f4,regular hot chocolate,1.40
1426cc3e-d5a1-4001-890f-d550466683de,1f5dc458-af15-4832-a31d-dc928c0862f4,regular hot chocolate,1.40
a38df915-2459-4b64-8981-88dae46819ad,1f5dc458-af15-4832-a31d-dc928c0862f4,large filter coffee,1.80
5e7dcafb-47da-471b-b27a-c99add5b3e19,b3ca6032-ff0b-4145-9f0f-4e85cd2e8522,large hot chocolate,1.70
50f90a94-cd29-49bf-acb6-da485e8ce95b,b3ca6032-ff0b-4145-9f0f-4e85cd2e8522,large speciality tea - english breakfast,1.60
e00cd3bd-94ce-43ee-a44f-b5f0d07e6853,b3ca6032-ff0b-4145-9f0f-4e85cd2e8522,regular speciality tea - english breakfast,1.30
7e0f422e-b7f7-44bf-93fb-f8742882692b,b3ca6032-ff0b-4145-9f0f-4e85cd2e8522,regular chai latte,2.30
596822d6-93c4-46bc-a871-7354ea1e2d92,a3d4447a-15d2-4fa3-b213-e1ce39f6bff5,large speciality tea - english breakfast,1.60
cf4608b7-335d-4174-b6d2-4813c0011987,a3d4447a-15d2-4fa3-b213-e1ce39f6bff5,large hot chocolate,1.70
42e7a6b7-4a3c-4697-97c9-95b45087642d,a3d4447a-15d2-4fa3-b213-e1ce39f6bff5,regular filter coffee,1.50
cd114464-2af6-4213-a78b-9ec2eb36b954,a3d4447a-15d2-4fa3-b213-e1ce39f6bff5,large speciality tea - english breakfast,1.60
2d8a9637-4454-41de-ac02-96e6943e8716,3eb7814e-924c-43bf-abe5-cd8a9419f8a8,regular filter coffee,1.50
802b97cc-5d4f-4bb5-901e-516e8e698bcf,3eb7814e-924c-43bf-abe5-cd8a9419f8a8,regular filter coffee,1.50
6ce8ccdd-1789-480f-810a-32fba5bdaa8d,3eb7814e-924c-43bf-abe5-cd8a9419f8a8,regular speciality tea - english breakfast,1.30
e126a8a6-f78e-4c91-b5ca-c101df34947b,3eb7814e-924c-43bf-abe5-cd8a9419f8a8,regular speciality tea - english breakfast,1.30
